,param,Sex,age,Mean,P5,P10,P15,P25,P50,P75,P85,P90,P95
190,HEIGHTCM,1,22,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
191,HEIGHTCM,1,23,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
192,HEIGHTCM,1,24,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
193,HEIGHTCM,1,25,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
194,HEIGHTCM,1,26,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
195,HEIGHTCM,1,27,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
196,HEIGHTCM,1,28,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
197,HEIGHTCM,1,29,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
198,HEIGHTCM,1,30,162.64999999999998,151.1,153.95,155.4,158.0,162.7,167.35,169.8,171.05,173.10000000000002
199,HEIGHTCM,1,31,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
200,HEIGHTCM,1,32,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
201,HEIGHTCM,1,33,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
202,HEIGHTCM,1,34,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
203,HEIGHTCM,1,35,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
204,HEIGHTCM,1,36,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
205,HEIGHTCM,1,37,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
206,HEIGHTCM,1,38,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
207,HEIGHTCM,1,39,162.7,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
208,HEIGHTCM,1,40,162.5,150.95,153.5,155.05,157.8,162.6,167.14999999999998,169.75,171.35000000000002,173.8
209,HEIGHTCM,1,41,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
210,HEIGHTCM,1,42,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
211,HEIGHTCM,1,43,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
212,HEIGHTCM,1,44,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
213,HEIGHTCM,1,45,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
214,HEIGHTCM,1,46,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
215,HEIGHTCM,1,47,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
216,HEIGHTCM,1,48,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
217,HEIGHTCM,1,49,162.3,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
218,HEIGHTCM,1,50,161.8,150.7,152.9,154.39999999999998,157.1,161.75,166.25,169.10000000000002,170.75,172.8
219,HEIGHTCM,1,51,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
220,HEIGHTCM,1,52,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
221,HEIGHTCM,1,53,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
222,HEIGHTCM,1,54,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
223,HEIGHTCM,1,55,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
224,HEIGHTCM,1,56,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
225,HEIGHTCM,1,57,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
226,HEIGHTCM,1,58,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
227,HEIGHTCM,1,59,161.3,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
228,HEIGHTCM,1,60,161.0,150.0,152.8,154.0,156.2,160.85000000000002,165.60000000000002,168.2,169.5,171.55
229,HEIGHTCM,1,61,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
230,HEIGHTCM,1,62,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
231,HEIGHTCM,1,63,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
232,HEIGHTCM,1,64,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
233,HEIGHTCM,1,65,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
234,HEIGHTCM,1,66,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
235,HEIGHTCM,1,67,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
236,HEIGHTCM,1,68,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
237,HEIGHTCM,1,69,160.7,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
238,HEIGHTCM,1,70,159.45,148.4,151.64999999999998,153.05,154.9,159.35000000000002,163.95,166.2,167.4,169.89999999999998
239,HEIGHTCM,1,71,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
240,HEIGHTCM,1,72,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
241,HEIGHTCM,1,73,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
242,HEIGHTCM,1,74,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
243,HEIGHTCM,1,75,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
244,HEIGHTCM,1,76,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
245,HEIGHTCM,1,77,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
246,HEIGHTCM,1,78,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
247,HEIGHTCM,1,79,158.2,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
